property_id,status_id,style_id,type_id,property_mls_number,property_apn_number,property_tax_number,property_address,property_address2,property_city,property_county,property_state,property_state_abbrev,property_zip,property_country,property_township,property_long_desc,property_med_desc,property_short_desc,property_value,property_listing_date,property_exp_date,property_date_created,property_date_updated,property_total_campaign_cost
50008,2,0,0,5848299,NULL,NULL,"26509 N Babbling Brook Dr",NULL,Phoenix,,AZ,AZ,85083,"United States",NULL,"Welcome to Stetson Hills Community surrounded by Mountains,hiking,parks and recreational living at its best ! Incrediable mountain views,community pool ,maintance free home ! Cozy is the best way to describe this 2 bed 2.5 baths,upgraded staggered cabinets,Corian counters,SS appliances,eat in kitchen opens to  inviting family room .Designer paint throught out ! Patio perfect for Arizona evenings ! Master bath has duel sinks and walk in closet with shower. Second bath tub/shower !  Pre wired for surround sound as well as security system.  This home has been well loved and shows pride of ownership!.! Easy living and turn key ! You don't want to miss this one and priced to sell !","Welcome to Stetson Hills Community surrounded by Mountains,hiking,parks and recreational living at its best ! Incrediable mountain views,community pool ,maintance free home ! Cozy is the best way to describe this 2 bed 2.5 baths,upgraded staggered cabinets,Corian counters,SS appliances,eat in kitchen opens to  inviting family room .Designer paint throught out ! Patio perfect for Arizona evenings ! Master bath has duel sinks and walk in closet with shower. Second bath tub/shower !  Pre wired for surround sound as well as security system.  This home has been well loved and shows pride of ownership!.! Easy living and turn key ! You don't want to miss this one and priced to sell !",NULL,220000,2018-11-16,2018-12-03,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
50009,2,0,0,5854382,NULL,NULL,"6526 N 86th St",NULL,Scottsdale,,AZ,AZ,85250,"United States",NULL,"LOCATION ,LOCATION,LOCATION ! EXTRA LARGE YARD WITH SPARKLING POOL! Cozy South Scottsdale home with warm hardwood flooring in all the right places .4 Bed ,2 bath quiet cul-de-sac lot. SS appliances ,Granite countertops, Kitchen over looks into the family room!  Multiple outdoor areas ,private pool, large covered patio and built in grill for out door entertainment . Large side yard for organic garden, beautiful large trees and colorful vegetation . Right in the heart of Scottsdale close to all shopping and Spring Training Stadiums ,restaurants ,casino .  This home has been well loved and shows pride of ownership .","LOCATION ,LOCATION,LOCATION ! EXTRA LARGE YARD WITH SPARKLING POOL! Cozy South Scottsdale home with warm hardwood flooring in all the right places .4 Bed ,2 bath quiet cul-de-sac lot. SS appliances ,Granite countertops, Kitchen over looks into the family room!  Multiple outdoor areas ,private pool, large covered patio and built in grill for out door entertainment . Large side yard for organic garden, beautiful large trees and colorful vegetation . Right in the heart of Scottsdale close to all shopping and Spring Training Stadiums ,restaurants ,casino .  This home has been well loved and shows pride of ownership .",NULL,504000,2018-12-04,2019-01-11,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
50010,1,0,0,5831665,NULL,NULL,"5232 N 9th St",NULL,Phoenix,,AZ,AZ,85014,"United States",NULL,"Astounding renovated home ! Lightly lived in and well loved . Energy efficient in well established North  Central Phoenix neighborhood. New electrical ,sewer, plumbing ,roof and the list goes on. Grand open floor plan with large Master BR/Bath a second Master with private bath attached. Classic modern remodel features elegant porcelain tile throughout the home. Large open kitchen complete with island and breakfast bar and pantry! SS appliances with GAS stove ! Beautiful large open Great Room. Covered patio to extend outdoor living for entertaining .This home has high performance insulation,air sealing,dual pane windows,high quality tankless water heater,insulated ducts .This renovated home boosts excellence in workmanship. Fabulous neighborhood with Madison Schools,unlimited amount of great restaurants, shopping, close to hiking at Piestewa Peak, easy freeway access, and more. The professionally landscaped yard features a new automatic watering system. Block wall for privacy with custom fabricated metal gates and fencing on east and west sides.  See Documents tab for floor plan, list of renovations and new features, energy testing reports and more. Very little of the original home was retained. You will not find a more extensively, more well done renovation with similar quality.","Astounding renovated home ! Lightly lived in and well loved . Energy efficient in well established North  Central Phoenix neighborhood. New electrical ,sewer, plumbing ,roof and the list goes on. Grand open floor plan with large Master BR/Bath a second Master with private bath attached. Classic modern remodel features elegant porcelain tile throughout the home. Large open kitchen complete with island and breakfast bar and pantry! SS appliances with GAS stove ! Beautiful large open Great Room. Covered patio to extend outdoor living for entertaining .This home has high performance insulation,air sealing,dual pane windows,high quality tankless water heater,insulated ducts .This renovated home boosts excellence in workmanship. Fabulous neighborhood with Madison Schools,unlimited amount of great restaurants, shopping, close to hiking at Piestewa Peak, easy freeway access, and more. The professionally landscaped yard features a new automatic watering system. Block wall for privacy with custom fabricated metal gates and fencing on east and west sides.  See Documents tab for floor plan, list of renovations and new features, energy testing reports and more. Very little of the original home was retained. You will not find a more extensively, more well done renovation with similar quality.",NULL,569900,2018-10-11,2019-01-18,"2019-01-15 16:22:36","0000-00-00 00:00:00",0
50011,1,0,0,5862340,NULL,NULL,"1350 S Greenfield Rd",NULL,Mesa,,AZ,AZ,85206,"United States",NULL,"This one won't last ! Well loved -TWO MASTER SUITES  with TWO  full baths and walk in closets  on second floor . Walk into spacious floor plan with open great room, laminate wood like flooring , Open kitchen with ALL appliances ,LARGE WALK-IN PANTRY  and half bath on first floor .Yard opens to common area extending landscape to lush vegetation with VIEW FENCE .Washer /Dryer included ,wired for security and surround sound. Enjoy heated community pool and spa, walking paths and parks . Minutes from shopping ,airport and freeway access .  Priced to sell !","This one won't last ! Well loved -TWO MASTER SUITES  with TWO  full baths and walk in closets  on second floor . Walk into spacious floor plan with open great room, laminate wood like flooring , Open kitchen with ALL appliances ,LARGE WALK-IN PANTRY  and half bath on first floor .Yard opens to common area extending landscape to lush vegetation with VIEW FENCE .Washer /Dryer included ,wired for security and surround sound. Enjoy heated community pool and spa, walking paths and parks . Minutes from shopping ,airport and freeway access .  Priced to sell !",NULL,210000,2019-01-03,2019-01-18,"2019-01-15 16:22:37","0000-00-00 00:00:00",0
50012,2,0,0,5802771,NULL,NULL,"4849 W Northern Ave",NULL,Glendale,,AZ,AZ,85301,"United States",NULL,"This Glendale two-story townhome offers a master suite with a walk-in closet, and 3/4 bath. Upgraded features include a new electric water heater, and fresh interior paint through out. Community pool, and common area maintenance are part of the HOA. Home comes with a 30-day buyback guarantee. Terms and conditions apply.","This Glendale two-story townhome offers a master suite with a walk-in closet, and 3/4 bath. Upgraded features include a new electric water heater, and fresh interior paint through out. Community pool, and common area maintenance are part of the HOA. Home comes with a 30-day buyback guarantee. Terms and conditions apply.",NULL,150000,2018-08-04,2018-09-11,"2019-01-15 16:31:20","0000-00-00 00:00:00",0
50013,1,0,0,NJCD254178,NULL,NULL,"417 Princeton Ave",NULL,"Cherry Hill",,NJ,NJ,08002,"United States",NULL,"New on the market is this adorable cape cod with in the highly desirable town of Cherry Hill.  This bright and cheerful home has plenty of newer features to boast about.  Some of these newer features include refinished hardwood floors, updated kitchen with SS appliances, granite counter tops, two renovated bathrooms and recessed lighting.  A one year old roof, gutters, siding, soffits, AC, heating and hot water heater are sure to satisfy all of your needs.  A spacious backyard and deck make entertaining easy.  This home is conveniently located near several major highways as well as shopping, restaurants, schools, and public transportation.  All that is left is for you to book your appointment.","New on the market is this adorable cape cod with in the highly desirable town of Cherry Hill.  This bright and cheerful home has plenty of newer features to boast about.  Some of these newer features include refinished hardwood floors, updated kitchen with SS appliances, granite counter tops, two renovated bathrooms and recessed lighting.  A one year old roof, gutters, siding, soffits, AC, heating and hot water heater are sure to satisfy all of your needs.  A spacious backyard and deck make entertaining easy.  This home is conveniently located near several major highways as well as shopping, restaurants, schools, and public transportation.  All that is left is for you to book your appointment.",NULL,208000,2019-01-03,2019-01-15,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50014,1,0,0,NJCD106502,NULL,NULL,"401 W Kings Hwy",NULL,Audubon,,NJ,NJ,08106,"United States",NULL,"Great condition! 3 Bedrooms and 2 full baths. First floor features generously sized living room, dining room, and updated kitchen with plenty of cabinet space, tile back-splash, new dishwasher, new range and microwave.  Also there is a extra room that can be used as an office.  The 3 Bedrooms are located on the 2nd floor with a full bath. Property also features newer windows throughout, and a 200 amp electric service. Parking in driveway. Just 15 minutes to Philadelphia, and close to Patco speed-line and very close to 295.","Great condition! 3 Bedrooms and 2 full baths. First floor features generously sized living room, dining room, and updated kitchen with plenty of cabinet space, tile back-splash, new dishwasher, new range and microwave.  Also there is a extra room that can be used as an office.  The 3 Bedrooms are located on the 2nd floor with a full bath. Property also features newer windows throughout, and a 200 amp electric service. Parking in driveway. Just 15 minutes to Philadelphia, and close to Patco speed-line and very close to 295.",NULL,1650,2018-11-15,2019-01-15,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50015,5,0,0,1000413680,NULL,NULL,"404 Wimbledon Way",NULL,Blackwood,,NJ,NJ,08012,"United States",NULL,"Lovely upper unit 2 Bedroom condo with loft.  Move in condition in desirable Players Place - Valleybrook development.  Condo features living room, dining room, and large loft.  Unit also has storage area off of the loft.  Great unit with Great location.  Schedule your appointment today.","Lovely upper unit 2 Bedroom condo with loft.  Move in condition in desirable Players Place - Valleybrook development.  Condo features living room, dining room, and large loft.  Unit also has storage area off of the loft.  Great unit with Great location.  Schedule your appointment today.",NULL,1350,2018-04-18,2018-06-01,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50016,2,0,0,1002038012,NULL,NULL,"210 N Woodstock Dr",NULL,"Cherry Hill",,NJ,NJ,08034,"United States",NULL,"Here is an East side Cherry Hill home that is affordable and something special right from the start! Recent updates to most of the rooms have transformed this wonderful Glenview split level into a home you need to put on your "must see" list! Plus, the added bonus of a spacious 4th bedroom and sunporch really sets this home apart from the rest! Begin with the gorgeous landscaping, outdoor lighting, EP Henry paver walks and flower walls that add a wow-factor to this home's lovely curb appeal. Enter the home to find a stylish and open floorplan on the main level showcased by gorgeous hardwoods in the living and dining rooms. The wall between the dining room and kitchen was removed and now offers a large breakfast bar with stool seating that overlooks the updated kitchen. Complete with shaker style maple cabinetry, granite counters, under mount lighting, hardwood floors and even a big window over the sink looking out onto the backyard, this kitchen is the hub of the home. The hardwoods continue upstairs to all the bedrooms. On the 1st upper level, 2 good sized bedrooms,share a refreshed main bath with a newer vanity. The master suite features a walk in closet, smaller closet and a sharp, redone master bath. Up on the next level is the 4th bedroom, again with hardwood flooring, plus access to a large floored attic perfect for storage. New neutral carpeting was just added to the huge lower level family room. More storage, a nicely redone powder room, access to the oversized 1 car garage as well as to the back screened porch complete this level. Need more space? A clean & well maintained partial basement off the family room houses the laundry, more storage and offers lots of possibilities. Enjoy relaxing outside in the back screen porch on rainy days, or tanning or lounging on the large patio. Some really recent improvements include fresh paint and  a new water heater. Located minutes to many of Cherry Hill favorite restaurants including farm to table options, most major roadways, Patco, and even downtown Haddonfield. Don't wait too long - this home will not last!","Here is an East side Cherry Hill home that is affordable and something special right from the start! Recent updates to most of the rooms have transformed this wonderful Glenview split level into a home you need to put on your "must see" list! Plus, the added bonus of a spacious 4th bedroom and sunporch really sets this home apart from the rest! Begin with the gorgeous landscaping, outdoor lighting, EP Henry paver walks and flower walls that add a wow-factor to this home's lovely curb appeal. Enter the home to find a stylish and open floorplan on the main level showcased by gorgeous hardwoods in the living and dining rooms. The wall between the dining room and kitchen was removed and now offers a large breakfast bar with stool seating that overlooks the updated kitchen. Complete with shaker style maple cabinetry, granite counters, under mount lighting, hardwood floors and even a big window over the sink looking out onto the backyard, this kitchen is the hub of the home. The hardwoods continue upstairs to all the bedrooms. On the 1st upper level, 2 good sized bedrooms,share a refreshed main bath with a newer vanity. The master suite features a walk in closet, smaller closet and a sharp, redone master bath. Up on the next level is the 4th bedroom, again with hardwood flooring, plus access to a large floored attic perfect for storage. New neutral carpeting was just added to the huge lower level family room. More storage, a nicely redone powder room, access to the oversized 1 car garage as well as to the back screened porch complete this level. Need more space? A clean & well maintained partial basement off the family room houses the laundry, more storage and offers lots of possibilities. Enjoy relaxing outside in the back screen porch on rainy days, or tanning or lounging on the large patio. Some really recent improvements include fresh paint and  a new water heater. Located minutes to many of Cherry Hill favorite restaurants including farm to table options, most major roadways, Patco, and even downtown Haddonfield. Don't wait too long - this home will not last!",NULL,270000,2018-07-13,2018-10-12,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50017,2,0,0,1008724694,NULL,NULL,"28 Cooper St",NULL,"Haddon Township",,NJ,NJ,08108,"United States",NULL,"Looking for a great location?  You've found it in this 3 bedroom bungalow in Emerald Hills.  Newer windows, refinished hardwood floors, updated electric and a half finished basement.  This home has a newly remodeled kitchen, newly remodeled bathroom and a large living and dining room.  The main floor has two bedrooms and the third bedroom is upstairs and extends over the entire home.  Walking distance to restaurants, public transportation and much more.  Do not miss this one.  Also includes off street parking and screened in back porch.","Looking for a great location?  You've found it in this 3 bedroom bungalow in Emerald Hills.  Newer windows, refinished hardwood floors, updated electric and a half finished basement.  This home has a newly remodeled kitchen, newly remodeled bathroom and a large living and dining room.  The main floor has two bedrooms and the third bedroom is upstairs and extends over the entire home.  Walking distance to restaurants, public transportation and much more.  Do not miss this one.  Also includes off street parking and screened in back porch.",NULL,1700,2018-10-07,2018-12-18,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50018,2,0,0,NJCD135108,NULL,NULL,"5520 Russell Ave",NULL,Pennsauken,,NJ,NJ,08109,"United States",NULL,"Welcome to 5520 Russell Avenue!  This charming Bungalow is bright, spacious, and loaded with updates. Glistening hardwoods, beautiful trim, recessed lighting, and built-in storage is found throughout.   Wide open living level boasts an updated kitchen with plenty of cabinets, peninsula for bar seating, and quality stainless appliances.  The enormous upstairs master runs the length of the house.  It has ample room for a sitting area or home office.  The full basement provides plenty of storage and more potential rec space. One of the bedrooms is a walk-though and could be utilized as a family room. Fair weather can be enjoyed walking the quiet neighborhood, entertaining on the multi-tier deck, or lounging in the privacy of the fully fenced yard.  Property is wonderfully landscaped with arbors, stunning Japanese maples, and beautiful colors throughout the seasons.  Ample parking is provided between the street, driveway, and detached garage. Property is convenient to the to the local schools, shopping centers and major commuting routes. Make your appointment today!","Welcome to 5520 Russell Avenue!  This charming Bungalow is bright, spacious, and loaded with updates. Glistening hardwoods, beautiful trim, recessed lighting, and built-in storage is found throughout.   Wide open living level boasts an updated kitchen with plenty of cabinets, peninsula for bar seating, and quality stainless appliances.  The enormous upstairs master runs the length of the house.  It has ample room for a sitting area or home office.  The full basement provides plenty of storage and more potential rec space. One of the bedrooms is a walk-though and could be utilized as a family room. Fair weather can be enjoyed walking the quiet neighborhood, entertaining on the multi-tier deck, or lounging in the privacy of the fully fenced yard.  Property is wonderfully landscaped with arbors, stunning Japanese maples, and beautiful colors throughout the seasons.  Ample parking is provided between the street, driveway, and detached garage. Property is convenient to the to the local schools, shopping centers and major commuting routes. Make your appointment today!",NULL,1500,2018-11-20,2018-12-15,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50019,2,0,0,1002495194,NULL,NULL,"731 Fountain Ct",NULL,Cinnaminson,,NJ,NJ,08077,"United States",NULL,"PLEASE FOLLOW SHOWING INSTRUCTIONS BELOW. ATTENTION INVESTORS AND HOMEBUYERS looking for a below market deal in Cinnaminson! Purchaser responsible for all inspections, certifications and repairs. Great spaces  - Large 5 bedroom 3.5 bath home in Cinnaminson has been selectively gutted for your finishes. Easy renovation project that can be completed inside of 45 days. Newer siding. Selective demo of kitchen, baths. Floor plan is now open styled.  Cash buyers. Conveyed strictly in "as is" condition, Purchaser responsible for all certifications and inspections.     Please follow showing instructions below.","PLEASE FOLLOW SHOWING INSTRUCTIONS BELOW. ATTENTION INVESTORS AND HOMEBUYERS looking for a below market deal in Cinnaminson! Purchaser responsible for all inspections, certifications and repairs. Great spaces  - Large 5 bedroom 3.5 bath home in Cinnaminson has been selectively gutted for your finishes. Easy renovation project that can be completed inside of 45 days. Newer siding. Selective demo of kitchen, baths. Floor plan is now open styled.  Cash buyers. Conveyed strictly in "as is" condition, Purchaser responsible for all certifications and inspections.     Please follow showing instructions below.",NULL,169000,2016-12-28,2017-01-27,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
50020,2,0,0,1000054658,NULL,NULL,"644 Washington St",NULL,Gibbstown,,NJ,NJ,08027,"United States",NULL,"Equity Alert! Come take a look at the potential of cape style home. First floor offers large living room dining room combo. The kitchen has been gutted and is ready for a fresh new lay out. Step down into the expanded family room off the back of the home that has a newer wood burning stove. Off the family room you will find a bonus room, which could be used as a 4th bedroom with the possibility of a half or full bathroom. Upstairs the 3 bedrooms have been converted into 2, but could easily be converted back into 3 making this a 4 bedroom house. Driveway access to the back yard gives you the option to have off street driveway parking.","Equity Alert! Come take a look at the potential of cape style home. First floor offers large living room dining room combo. The kitchen has been gutted and is ready for a fresh new lay out. Step down into the expanded family room off the back of the home that has a newer wood burning stove. Off the family room you will find a bonus room, which could be used as a 4th bedroom with the possibility of a half or full bathroom. Upstairs the 3 bedrooms have been converted into 2, but could easily be converted back into 3 making this a 4 bedroom house. Driveway access to the back yard gives you the option to have off street driveway parking.",NULL,59999,2017-07-31,2017-08-23,"2019-01-15 16:32:32","0000-00-00 00:00:00",0
